iter	Passed	Remaining
0	176	52828
1	248	37040
2	310	30787
3	360	26653
4	388	22917
5	425	20828
6	462	19373
7	494	18042
8	525	16995
9	555	16096
10	586	15415
11	617	14827
12	645	14253
13	674	13779
14	702	13348
15	734	13034
16	764	12726
17	796	12473
18	827	12235
19	862	12069
20	894	11881
21	924	11686
22	954	11492
23	984	11326
24	1018	11203
25	1054	11107
26	1087	10999
27	1122	10900
28	1160	10840
29	1209	10885
30	1240	10765
31	1271	10646
32	1304	10557
33	1338	10469
34	1370	10377
35	1404	10302
36	1434	10199
37	1463	10093
38	1494	9998
39	1523	9904
40	1553	9811
41	1594	9793
42	1621	9690
43	1648	9591
44	1675	9494
45	1706	9421
46	1733	9330
47	1760	9243
48	1785	9146
49	1811	9057
50	1838	8974
51	1868	8912
52	1900	8857
53	1931	8797
54	1960	8735
55	1992	8682
56	2020	8615
57	2047	8542
58	2074	8472
59	2102	8408
60	2129	8343
61	2156	8279
62	2185	8222
63	2219	8183
64	2279	8242
65	2326	8246
66	2361	8213
67	2396	8175
68	2428	8130
69	2460	8084
70	2489	8030
71	2518	7975
72	2548	7924
73	2581	7884
74	2610	7832
75	2638	7775
76	2665	7720
77	2694	7669
78	2731	7641
79	2760	7592
80	2790	7543
81	2818	7493
82	2848	7446
83	2885	7420
84	2913	7370
85	2932	7296
86	2958	7243
87	2993	7211
88	3041	7211
89	3080	7187
90	3116	7157
91	3135	7089
92	3171	7058
93	3199	7011
94	3225	6961
95	3252	6911
96	3277	6859
97	3305	6813
98	3332	6766
99	3359	6718
100	3384	6667
101	3412	6624
102	3446	6591
103	3483	6565
104	3510	6519
105	3541	6481
106	3573	6446
107	3608	6415
108	3649	6395
109	3687	6368
110	3724	6340
111	3753	6300
112	3789	6271
113	3819	6231
114	3847	6189
115	3877	6151
116	3910	6116
117	3940	6077
118	3971	6040
119	3999	5998
120	4030	5962
121	4065	5932
122	4110	5914
123	4144	5882
124	4177	5849
125	4215	5821
126	4242	5779
127	4271	5740
128	4301	5701
129	4331	5664
130	4364	5630
131	4399	5599
132	4435	5569
133	4468	5535
134	4500	5500
135	4535	5469
136	4567	5434
137	4595	5395
138	4626	5358
139	4656	5321
140	4690	5288
141	4721	5253
142	4749	5214
143	4779	5178
144	4801	5132
145	4826	5091
146	4862	5061
147	4889	5022
148	4919	4985
149	4948	4948
150	4979	4913
151	5013	4881
152	5048	4850
153	5084	4820
154	5115	4785
155	5148	4752
156	5175	4713
157	5201	4675
158	5229	4637
159	5254	4597
160	5280	4558
161	5305	4519
162	5330	4480
163	5360	4444
164	5387	4408
165	5413	4370
166	5438	4331
167	5480	4306
168	5513	4273
169	5545	4240
170	5575	4205
171	5604	4170
172	5632	4134
173	5662	4100
174	5696	4068
175	5739	4043
176	5772	4011
177	5806	3979
178	5840	3948
179	5870	3913
180	5901	3879
181	5931	3845
182	5963	3812
183	5993	3778
184	6022	3743
185	6050	3708
186	6080	3674
187	6112	3641
188	6150	3612
189	6180	3578
190	6209	3543
191	6240	3510
192	6267	3474
193	6296	3440
194	6325	3405
195	6353	3371
196	6383	3337
197	6409	3301
198	6435	3266
199	6461	3230
200	6487	3195
201	6523	3165
202	6558	3133
203	6590	3101
204	6624	3070
205	6657	3037
206	6683	3002
207	6709	2967
208	6733	2931
209	6757	2896
210	6789	2863
211	6817	2829
212	6843	2795
213	6870	2761
214	6897	2726
215	6923	2692
216	6951	2658
217	6981	2625
218	7010	2592
219	7040	2560
220	7085	2532
221	7119	2501
222	7152	2469
223	7185	2438
224	7216	2405
225	7245	2372
226	7277	2340
227	7307	2307
228	7336	2274
229	7365	2241
230	7396	2209
231	7428	2177
232	7458	2144
233	7488	2112
234	7518	2079
235	7552	2048
236	7586	2016
237	7621	1985
238	7656	1954
239	7692	1923
240	7738	1894
241	7776	1863
242	7808	1831
243	7841	1799
244	7872	1767
245	7902	1734
246	7933	1702
247	7964	1669
248	7990	1636
249	8016	1603
250	8042	1570
251	8074	1537
252	8103	1505
253	8147	1475
254	8179	1443
255	8204	1410
256	8229	1376
257	8255	1343
258	8287	1311
259	8314	1279
260	8340	1246
261	8367	1213
262	8393	1180
263	8421	1148
264	8447	1115
265	8472	1082
266	8496	1050
267	8522	1017
268	8551	985
269	8584	953
270	8616	922
271	8656	891
272	8692	859
273	8727	828
274	8760	796
275	8795	764
276	8827	732
277	8864	701
278	8909	670
279	8943	638
280	8977	606
281	9008	575
282	9038	542
283	9067	510
284	9093	478
285	9120	446
286	9151	414
287	9181	382
288	9213	350
289	9244	318
290	9276	286
291	9309	255
292	9340	223
293	9381	191
294	9409	159
295	9447	127
296	9476	95
297	9505	63
298	9536	31
299	9569	0
