age,gender,state,category,annual_income,occupation,employment_status,education_level,family_size,land_holding,bpl_card,disability_status,scheme_name,scheme_category,eligible,citizen_id
68,Other,Tamil Nadu,SC,579903.42,Retired,Retired,Graduate,2,0.4,False,False,PM Kisan,Agriculture,False,1
68,Other,Tamil Nadu,SC,579903.42,Retired,Retired,Graduate,2,0.4,False,False,Post Matric Scholarship,Education,False,1
68,Other,Tamil Nadu,SC,579903.42,Retired,Retired,Graduate,2,0.4,False,False,Ayushman Bharat,Healthcare,False,1
68,Other,Tamil Nadu,SC,579903.42,Retired,Retired,Graduate,2,0.4,False,False,PM Awas Yojana,Housing,False,1
68,Other,Tamil Nadu,SC,579903.42,Retired,Retired,Graduate,2,0.4,False,False,Skill India,Employment,False,1
25,Male,Kerala,OBC,473119.27,Business,Self-Employed,Post Graduate,2,3.69,False,True,PM Kisan,Agriculture,False,2
25,Male,Kerala,OBC,473119.27,Business,Self-Employed,Post Graduate,2,3.69,False,True,Post Matric Scholarship,Education,False,2
25,Male,Kerala,OBC,473119.27,Business,Self-Employed,Post Graduate,2,3.69,False,True,Ayushman Bharat,Healthcare,False,2
25,Male,Kerala,OBC,473119.27,Business,Self-Employed,Post Graduate,2,3.69,False,True,PM Awas Yojana,Housing,False,2
25,Male,Kerala,OBC,473119.27,Business,Self-Employed,Post Graduate,2,3.69,False,True,Skill India,Employment,False,2
33,Female,Delhi,ST,0.0,Homemaker,Unemployed,Primary,8,1.77,False,False,PM Kisan,Agriculture,False,3
33,Female,Delhi,ST,0.0,Homemaker,Unemployed,Primary,8,1.77,False,False,Post Matric Scholarship,Education,False,3
33,Female,Delhi,ST,0.0,Homemaker,Unemployed,Primary,8,1.77,False,False,Ayushman Bharat,Healthcare,False,3
33,Female,Delhi,ST,0.0,Homemaker,Unemployed,Primary,8,1.77,False,False,PM Awas Yojana,Housing,False,3
33,Female,Delhi,ST,0.0,Homemaker,Unemployed,Primary,8,1.77,False,False,Skill India,Employment,False,3
46,Female,Kerala,ST,81902.49,Unemployed,Unemployed,Graduate,2,0.0,False,True,PM Kisan,Agriculture,False,4
46,Female,Kerala,ST,81902.49,Unemployed,Unemployed,Graduate,2,0.0,False,True,Post Matric Scholarship,Education,False,4
